it-codigo;Custo
15.0645.00012;8,00
2020000003;454,07
15.0521.00015;15,12
15.0645.00011;2,50
2020000029;1278,17
2020000049;26,32
2020000001;61,53
2020000081;72,34
2020000080;195,22
2020000079;59,19
15.0127.00012;0,30
15.0191.00032;9,00
15.0191.00034;0,76
15.0001.00054;24,50
15.0001.00056;0,62
15.0127.00005;0,21
15.0127.00015;1,19
15.0573.00012;0,32
15.0573.00014;0,45
15.0001.00069;2,12
15.0001.00074;2,95
15.0191.00030;16,00
15.0001.00075;476,58
15.0001.00080;4,26
15.0001.00068;36,03
0909100033;4,98
1000200008;3,89
15.0351.00002;268,40
1000100136;8,94
1000100009;6,34
1000300040;3,68
70.0049.00083;2,42
1000700044;39,65
1000300025;7,60
2020400021;11,91
15.0521.00016;54,50
15.0497.00005;65,05
15.0001.00067;44,40
0909100023;3,55
1000100012;4,13
1000100153;2,95
1000100132;2,65
1000100161;2,97
1000100340;2,99
1000100019;7,12
1000100298;8,05
1000200019;3,29
1000100357;3,46
1000100021;6,72
1000100023;6,73
15.0087.00019;36,96
15.0087.00020;314,13
2020200017;9,38
0909100006;3,26
1000400100;3,62
15.0499.00007;28,71
15.0499.00013;24,60
9999900014;1912,42
70.0461.00084;28,00
70.0461.00085;28,00
70.0077.00345;29,00
70.0077.00504;27,00
70.0077.00346;21,00
80.0071.00091;155,25
80.0071.00090;155,25
80.0511.00001;55,00
9992300004;2389,19
1515500001;35,38
1515500002;100,09
1515500003;33,37
1515500004;30,20
1515500005;20,07
1515500006;58,63
1515500007;47,63
1515500008;13,14
1515500011;9,51
70.0001.00188;16,40
70.0001.00234;16,40
70.0001.00194;14,55
70.0195.02615;25,90
70.0499.00592;23,93
70.0499.00600;24,65
70.0499.00620;30,06
70.0499.00622;25,40
70.0499.00617;30,40
70.0499.00618;45,55
70.0499.00621;13,40
70.0499.00051;6,99
70.0499.00583;32,41
1000400101;5,20
70.0513.00102;48,03
70.0499.00399;42,00
1000100092;3,59
1515500012;6,62
1000400123;5,57
15.0131.00057;2,75
3030100006;118,03
3030100007;41,47
3030100026;69,55
3030100009;20,00
3030100008;16,50
70.0645.00114;15,00
70.0645.00124;15,00
70.0645.00155;15,00
70.0499.00680;52,80
70.0499.00681;52,80
15.0611.00022;71,10
1000400172;2,80
1000400175;4,07
1000400168;3,82
1000100240;0,08
80.0015.00015;0,55
80.0015.00016;0,55
1000400179;10,27
1000400180;10,27
1000400181;10,27
1000400182;16,72
1000400183;9,37
1000400184;9,69
1000400015;6,01
80.0049.00138;226,49
80.0049.00077;284,91
80.0169.00008;0,91
80.0049.00076;187,80
1000700043;11,86
1515500010;37,11
1515500015;34,32
9992300018;1487,56
1000400173;4,43
1000400176;4,06
